lat,lon,restoration,DHW_trend,SSTA_mean_trend,HS_trend,BAA_trend,light_trend,fishing_demersal_destructive_trend,remotness,rich,cumulative_impact_trend,SST_trend
115,231,0,0.009896344925444,0.130049394689044,0.064166522342505,4.14,NA,-1606.70010060494,4.25668048858643,26,8.54059130976106,0.089121813031161
116,230,0,0.010734476149574,0.127118545668472,0.077641111786712,4.22641509433962,NA,1748.1715618112,4.3677453994751,26,9.87566087514228,0.08181222993322
116,231,0,0.011118843833251,0.126799372304803,0.075496757278874,4.22641509433962,243.12263508113,-493.1608127605,4.43902254104614,26,12.6516112913484,0.079451650943396
119,622,0,-0.004411802695048,0.011051684678179,-0.017013700568302,-1.54651162790698,5724.93665101313,-73.9414431350276,0.185687854886055,212,-0.995775550792266,0.090449268405426
119,623,0,-0.001250116370703,0.050732311532607,0.002146259558703,-0.63913043478261,5724.06160172984,-133.797954353005,0.251103192567825,210,0.81497483229829,0.071179367001948
120,458,0,0.008756127811929,0.061367549636663,0.03542715467542,3.00622406639004,125.374096073728,123.260618412994,0.157680824398994,104,93.1346165123845,0.059549542594666
120,620,0,0.003288955678887,0.081836721788345,0.011006557050765,0.629999999999999,NA,-101.324428370214,0.485874593257904,245,1.46350691084391,0.073452043707001
120,621,0,0.002331753866163,0.074995669495929,0.002587324823074,-9.73410942879526E-16,7412.56972748089,-64.6346268931078,0.397992551326752,212,-4.62063302235713,0.075562346851684
120,622,0,-0.000911759974188,0.067654938777318,-0.014229158452243,-1.40625,4998.87130457284,-37.6955472817439,0.323840081691742,207,-6.68759287212407,0.078494922798721
121,425,0,0.013189138399391,0.124172222512561,0.101633563104036,4.59375,116.664239992415,-17.6418930205423,0.124384216964245,293,11.2347301133503,0.058387480552759
121,426,0,0.014479407327972,0.119090591301837,0.100247832998687,3.94585987261146,148.210497668311,-29.373291551352,0.122189693152905,293,11.1260060830955,0.049058473736373
121,430,1,0.020691300293165,0.124967507148427,0.062972990467721,5.09708737864078,34.5065417289066,0.017091245952584,0.132911890745163,302,17.5300952176214,0.050737250416491
121,431,0,0.020691300293165,0.124967507148427,0.062972990467721,5.09708737864078,34.5065417289066,0.017091245952584,0.113343499600887,NA,17.5300952176214,0.050737250416491
121,620,0,0.003432695699394,0.092231626922764,0.015403033040475,0.909999999999999,19210.3318666774,-92.6819979779847,0.660019397735596,270,-4.84333521134067,0.068682770832783
122,425,0,0.012519832864083,0.122606591484742,0.102870456972115,4.53930131004367,92.4962099703273,-79.4535790144458,0.451901465654373,293,11.069735117766,0.052711509539678
122,426,0,0.014558753460685,0.104212198781887,0.088940018203819,5.21428571428571,334.502680907548,1.15366285699771,0.116188935935497,293,7.98296596569362,0.031086044071354
122,427,0,0.0125417162194,0.097645203393518,0.069239284396463,4.32352941176471,269.621203073578,-98.9269903779273,0.277516394853592,293,10.1397247468614,0.023935489376227
122,430,1,0.017502739594501,0.127467948149593,0.073701410806947,5.11,176.152292441544,2.77799669540499,0.105041705071926,302,8.49339976739641,0.059878837542802
122,456,0,0.005936572116061,0.080023161551824,0.042093553122515,3.93048128342246,70.5235075764268,-17.7678999710294,0.042358469218016,104,33.0278661074967,0.06191960069217
122,457,0,0.005938334753623,0.078652726310217,0.040175195822879,3.171875,226.208495930502,-27.7723806469762,0.076266452670097,104,19.8392677687429,0.065770404734725
122,461,0,0.005933759711591,0.078413001548508,0.042393711139098,2.30717488789238,50.9348967878916,-38.0514133932726,0.166530594229698,105,11.682290603017,0.072604768396379
122,619,0,0.002330278068512,0.082136910558889,0.014947700551233,1.37254901960784,NA,-106.099921305614,0.908207535743713,345,-5.31038831070774,0.062849717738927
122,620,0,0.002656750861925,0.077383378715495,0.012291587380348,1.50980392156863,NA,-26.8481031885407,0.824598550796509,276,-5.67924567972939,0.06503025546244
123,426,0,0.014211068201455,0.097900290160907,0.08027489399035,5.21428571428571,-822.71904718742,-25.3168694891091,0.232948407530785,293,7.53399596989256,0.025508825648415
123,427,0,0.012783028371957,0.097113228699552,0.086166799785739,3.81818181818182,-186.380775733904,-90.2978826555416,0.204747229814529,293,8.62475608772606,0.02573798487436
123,430,1,0.015630226737809,0.116659051322837,0.069278618878853,5.6360294117647,1264.14253191175,6.56813965329111,0.193875163793564,302,7.53046568596751,0.047203180696463
123,457,0,0.006312847673976,0.088345752785449,0.052857815459482,3.26785714285714,180.989115710322,17.0741070160782,0.080724216997623,104,10.6289734836065,0.067762485726306
123,458,0,0.006734799510436,0.091006133303716,0.060044975535768,3.26785714285714,-3.27876031581313,-4.81606087965259,0.165545746684074,104,12.2583974053103,0.068722172359784
123,462,0,0.007696675037287,0.083056342427539,0.051745984791536,2.40625,497.006174688802,-235.045802560482,0.086854375898838,105,13.0501925596799,0.074675555645891
123,620,0,0.001479166172615,0.063072322930293,0.00282365641741,0.675742574257424,-28790.964417655,-135.3709630129,0.784226179122925,347,-8.08345304223072,0.062839270020162
124,4,0,0.002976319052321,0.102305561569992,0.021228471188603,0.269230769230768,NA,-524.752982201292,8.51882266998291,55,6.43860418893395,0.041008052490308
124,6,0,0.002109466073241,0.083442218201153,0.016661242452652,1.0390625,NA,-4283.87400953078,8.14003753662109,55,7.04430714250747,0.033157799164699
124,426,0,0.014494353920186,0.091921766127646,0.083738466449296,4.30769230769231,53.3304590267393,-489.457162907882,0.331254214048386,293,9.32706907615837,0.021802911534155
124,427,0,0.011424211222381,0.092492734502866,0.091419606435152,4.30405405405405,124.431222086648,24.1488711901389,0.14134281873703,302,8.32949760783753,0.009284556096045
124,428,0,0.009791031736296,0.096101083246421,0.077446782693108,3.78445229681979,-26.1647461493375,27.7593540620117,0.352376222610474,302,9.46600626975282,0.009443352327868
124,429,0,0.012138303388834,0.106762444812646,0.04733198576105,4.48089171974522,396.332675188249,54.699901497536,0.289260119199753,302,8.33065205074335,0.047435866023081
124,430,0,0.012958079432338,0.106476080344588,0.059761252410909,4.03260869565217,811.273590516809,12.1809838322041,0.170170724391937,303,9.53896320091452,0.044528597545051
124,431,0,0.00753350148899,0.11040935616638,0.078217483529559,4.63100436681223,188.153413461508,-0.212886729827949,0.290405780076981,303,14.1824906849438,0.084078676191048
124,458,0,0.007324214804852,0.095787363166294,0.056090028016886,3.02985074626865,14.0098189672185,34.8587237647333,0.09980708360672,104,13.7581316078718,0.070395803528851
124,619,0,-0.000345697061858,0.055702608018684,0.002661777517531,-0.15144230769231,804.931852125252,-139.523706007519,0.636196672916412,349,-10.1198729401434,0.063872632717698
124,620,0,0.00067760562631,0.061303708826835,-0.011908234247417,-0.76685393258427,789.625726369996,-81.7925137585169,0.7283855676651,346,-15.128515869091,0.064624303001157
124,621,0,0.001295274992953,0.079009220227202,-0.015964878136936,-0.274509803921572,2888.27104361397,-106.184017137187,0.891311228275299,344,-17.7444555136321,0.064222517279462
125,8,0,0.002103015678007,0.07624302309528,0.018914228743564,0.807692307692306,NA,-4906.68395997188,7.68232774734497,55,7.68980089104368,0.019108994116
125,9,0,0.001983471244606,0.067403616974224,0.018042689778097,1.62931034482759,NA,-37005.6453765747,7.49272775650024,0,7.52556640651817,0.013977536623483
125,173,0,0.005907884458435,0.100549001529661,0.014647255761422,1.98333333333333,-15234.5215645903,-418.700964315343,0.780232965946198,27,5.61639877087313,0.040687104256787
125,427,0,0.011613025826166,0.087332894303589,0.083909165653821,4.04508196721312,82.0593680261112,27.9415196588605,0.300880372524261,302,13.375894092367,-0.005138471805139
125,428,0,0.01197446484345,0.101256140871077,0.071453451678104,4.77272727272727,326.823167951684,7.141418036645,0.117084570229053,302,11.211706807565,0.018093073014174
125,429,1,0.010884653931878,0.095553539824316,0.060522053370522,2.91928251121076,832.748364679943,1.66158742232977,0.238278850913048,302,8.06771328770442,0.040192755772082
125,430,0,0.009767977643335,0.095276309798927,0.063192738580866,4.14,4122.2297248557,-6.19817947542621,0.269154191017151,303,7.81788425945613,0.049290357321436
125,431,0,0.00959284544391,0.104309806371018,0.056924659668655,3.84,1004.1103061161,5.78084415268918,0.205492258071899,303,9.88444730155588,0.064606741573034
125,432,0,0.010477824649843,0.100788796529565,0.039724356312292,3.37871287128713,125.913609395885,4.95775367628613,0.323727995157242,303,23.4819665253043,0.057567414195338
125,459,0,0.008221303923252,0.089403319783541,0.059363106295877,2.21608040201005,244.901394207416,15.6203910269108,0.177586734294891,105,16.481363543758,0.072822712538316
125,460,0,0.008469209729098,0.092122303182103,0.05930867767126,2.15384615384615,4207.14309492731,35.2946100510639,0.21599705517292,105,10.6050569361321,0.078299801643525
125,461,0,0.008490781635314,0.088386861693821,0.057160649756166,2.61049723756906,3226.29388247629,3.78058393839536,0.337011635303497,108,8.16562068576265,0.082453151618399
125,464,0,0.032449730286325,0.096250081237408,0.078765797563475,3.81818181818181,799.584768346157,-693.965073155164,0.118774451315403,107,5.29802567004929,0.07964286656292
125,465,0,0.036748553757565,0.093588425673141,0.076688882316906,5.83333333333333,127.954007713962,-39.852527911569,0.077229201793671,107,-1.16986535767114,0.071683873831829
125,466,0,0.031131313440873,0.093279048726897,0.071975621595383,5.52631578947368,66.6940420863882,-9.94922251894369,0.196396455168724,107,-5.94060890384638,0.066436963511253
125,602,0,0.008513677833975,-0.080452080454811,0.04725112896743,4.80392156862745,167.347973865082,19.9899005131635,0.046634212136269,0,-29.3075901988015,0.080376637554585
125,603,0,0.009048786150927,-0.097941258101909,0.038992346729743,4.27,849.971848988911,29.3966157971417,0.123182527720928,0,-34.633983863718,0.094069346337266
125,617,0,0.000720273151737,0.083067829294877,-0.003184075733572,-0.530898876404496,NA,-56.7702296455956,0.415233492851257,358,-0.836535047712288,0.068781017369727
125,618,0,0.000552779053577,0.059075798482928,0.003204124574927,0.126506024096383,1663.78849401526,-41.0203045103749,0.431314587593079,354,-7.35293906544732,0.073170731707317
125,619,0,0.000487437635467,0.060701024717175,-0.002077799511375,0.336898395721922,1960.45780585214,-137.754626613604,0.540356278419495,350,-13.5003036591985,0.066325417901448
126,203,0,0.010876544453953,0.143415460756361,0.028966551645634,1.65,NA,-3944.18032496763,0.556809425354004,53,-32.5292383910976,0.089622370387401
126,204,0,0.00203031797272,0.140083507306889,0.012688370770543,-1.4,20062.1626682748,2944.98145334196,0.731774985790253,53,-25.5852006054344,0.098570017404393
126,205,0,-0.010235134986688,0.128063977213595,0.008252526283556,-1.4,NA,-162.769947476684,0.711737930774689,53,-20.1715281235399,0.092974565756824
126,428,0,0.011746746382188,0.105322885061041,0.067099735692885,3.48214285714286,191.733994946984,11.15226987689,0.095327600836754,302,9.74321877390522,0.041950618578318
126,429,0,0.009955131628913,0.09151709629314,0.062340010766921,3.38863636363636,2773.02198585688,1.81660025907835,0.206329643726349,302,6.21183723614914,0.039939875456302
126,432,0,0.010193249569688,0.092803696077939,0.033791368585623,3.30662983425414,325.156676841151,0.861849906938212,0.196393385529518,303,9.35750127289319,0.051244767161857
126,459,0,0.008238246345889,0.07945266830884,0.052019326716034,2.58542713567839,121.26022264589,38.9278297477704,0.088779360055924,105,-34.1471994342596,0.074048224778801
126,460,0,0.008996442003203,0.088354875902664,0.064360607870463,2.49551569506726,168.119638889882,30.3416491521602,0.078029960393906,106,19.8121240683724,0.075204325802542
126,462,0,0.009530378456187,0.085641396582433,0.053458174815439,2.71987951807229,-16994.9569466061,17.033336810463,0.358989983797073,108,6.74109859917926,0.085306908297766
126,466,0,0.066055852185266,0.093376974126041,0.057098257365045,6.21428571428571,280.007900854122,-127.572599385248,0.138367220759392,107,-0.558391877075019,0.072681067344346
126,601,0,0.007851820576197,-0.063926179292472,0.043869976462578,4.43582887700535,299.864032236716,13.4815928240351,0.05714738368988,2,-15.0855111550968,0.091693891693892
126,602,0,0.008070278292527,-0.119009268957885,0.032452621340422,3.69310344827586,1099.56347512311,30.6083917910054,0.124115198850632,2,-22.871641017277,0.105330749819755
126,603,0,0.007274043097926,-0.067356798910488,0.022459827326635,2.71875,-42108.419150803,84.1756081851627,0.279661774635315,1,-24.6246100434689,0.101249821962683
126,616,0,0.00215693059743,0.09014366462553,0.007462945727819,0.545454545454544,-13047.8653093211,-141.669176789642,0.273023873567581,364,7.82424514798009,0.063226386722318
126,617,0,0.001289303854933,0.078431022158685,-0.004175087920985,-0.54044117647059,675.510158772951,-75.8155861477127,0.2262032777071,362,6.45799088300292,0.069458546015939
126,618,0,0.001367138854403,0.061772495113185,-0.010163991740323,-0.456521739130438,1231.65004644669,-145.457186988125,0.306741446256638,360,-11.2883139320682,0.073234069474892
127,200,0,-0.015088244100914,0.15467353138629,0.028534034029034,0.857142857142855,42.0889506609395,-2.48827679379002,0.057429738342762,55,16.3545888316467,0.095330467790554
127,201,0,-0.002145685381968,0.159991758610631,0.039394168303369,2.48181818181818,1137.43580599928,-563.462206670326,0.143713861703873,56,19.6758663559874,0.097278911564625
127,202,0,0.007223949453415,0.155359867241241,0.039779338014042,4.66666666666667,NA,6269.20374218049,0.33331373333931,56,15.8655717623297,0.097655708142599
127,203,0,0.010417950179043,0.089912939796909,0.056916213447972,2.44660194174757,481.002617365002,3515.85635943022,0.507531821727753,53,-116.172849163674,0.072127695216216
127,204,0,0.008845156422845,0.105700212497185,0.034708350724465,2.43292682926829,2429.45048092573,2059.5689126406,0.613328099250793,53,-44.0263099763092,0.082458233890215
127,205,0,0.00931268152323,0.120794057988307,0.034273990919697,3.58536585365854,3284.93598272505,7711.64299027324,0.615772545337677,53,-53.4418164557702,0.087142944647488
127,206,0,0.004670273155381,0.125329902786435,0.031456997614963,4.66666666666667,743.532637944783,4512.49836690716,0.544512689113617,53,-31.7514036764143,0.088284203893012
127,207,0,-0.000103232439425,0.116489689926467,0.025894280589876,1.63333333333333,NA,2303.59537474513,0.613652586936951,53,-22.2120494738978,0.080272417325877
127,428,0,0.011564972632421,0.101708780221778,0.058072832742507,3.15432098765432,143.119984708872,252.364353274979,0.220453068614006,302,7.37014048824688,0.049455936864762
127,429,0,0.011382772062915,0.091485538105134,0.069050919027221,4.02238805970149,1429.58669554833,183.339391705366,0.172331839799881,302,5.7810543558444,0.041779767451282
127,432,0,0.010013598511906,0.082579798479671,0.035762365248847,3.30662983425414,-220351.313391366,1.17719115423266,0.290529578924179,306,7.30133672845062,0.048308759757155
127,433,0,0.010003173775784,0.085774512215972,0.033492365952679,3.5,3249.78722343187,-1.28637893376594,0.369798988103867,305,10.8213145749131,0.047122762148338
